,region,constituency,name,txx_trend
0,0,,E14001063,0.28408074378967285
1,1,,E14001064,0.2299240231513977
2,2,,E14001065,0.23938468098640442
3,3,,E14001066,0.27018773555755615
4,4,,E14001067,0.24255892634391785
5,5,,E14001068,0.27035534381866455
6,6,,E14001069,0.33834922313690186
7,7,,E14001070,0.24843564629554749
8,8,,E14001071,0.2943515479564667
9,9,,E14001072,0.26176995038986206
10,10,,E14001073,0.0
11,11,,E14001074,0.2506704330444336
12,12,,E14001075,0.0
13,13,,E14001076,0.18708495795726776
14,14,,E14001077,0.33641237020492554
15,15,,E14001078,0.0
16,16,,E14001079,0.23321661353111267
17,17,,E14001080,0.20213796198368073
18,18,,E14001081,0.0
19,19,,E14001082,0.30179154872894287
20,20,,E14001083,0.344383180141449
21,21,,E14001084,0.0
22,22,,E14001085,0.3401743173599243
23,23,,E14001086,0.0
24,24,,E14001087,0.1007896363735199
25,25,,E14001088,0.31128573417663574
26,26,,E14001089,0.0
27,27,,E14001090,0.26363760232925415
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,0.23528754711151123
33,33,,E14001096,0.22616209089756012
34,34,,E14001097,0.2156585305929184
35,35,,E14001098,0.0
36,36,,E14001099,0.0
37,37,,E14001100,0.0
38,38,,E14001101,0.21104829013347626
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.0
42,42,,E14001105,0.20010800659656525
43,43,,E14001106,0.19155988097190857
44,44,,E14001107,0.1420217603445053
45,45,,E14001108,0.0
46,46,,E14001109,0.2629990875720978
47,47,,E14001110,0.2594420611858368
48,48,,E14001111,0.0
49,49,,E14001112,0.26079225540161133
50,50,,E14001113,0.0
51,51,,E14001114,0.14815255999565125
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.28475117683410645
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,0.21591924130916595
58,58,,E14001121,0.28320544958114624
59,59,,E14001122,0.0
60,60,,E14001123,0.0
61,61,,E14001124,0.0
62,62,,E14001125,0.33981427550315857
63,63,,E14001126,0.20212864875793457
64,64,,E14001127,0.1329149305820465
65,65,,E14001128,0.15321646630764008
66,66,,E14001129,0.0
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.0
70,70,,E14001133,0.0
71,71,,E14001134,0.22524333000183105
72,72,,E14001135,0.21074196696281433
73,73,,E14001136,0.20144720375537872
74,74,,E14001137,0.0
75,75,,E14001138,0.21688765287399292
76,76,,E14001139,0.3265606462955475
77,77,,E14001140,0.2745455801486969
78,78,,E14001141,0.2886248528957367
79,79,,E14001142,0.25355708599090576
80,80,,E14001143,0.22576169669628143
81,81,,E14001144,0.26266390085220337
82,82,,E14001145,0.0
83,83,,E14001146,0.2659167945384979
84,84,,E14001147,0.23447182774543762
85,85,,E14001148,0.15827623009681702
86,86,,E14001149,0.29369041323661804
87,87,,E14001150,0.22850863635540009
88,88,,E14001151,0.34599411487579346
89,89,,E14001152,0.22959499061107635
90,90,,E14001153,0.0
91,91,,E14001154,0.0
92,92,,E14001155,0.10422024875879288
93,93,,E14001156,0.2293759435415268
94,94,,E14001157,0.0
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,0.21543504297733307
99,99,,E14001162,0.29752683639526367
100,100,,E14001163,0.20664480328559875
101,101,,E14001164,0.22126106917858124
102,102,,E14001165,0.0
103,103,,E14001166,0.22973157465457916
104,104,,E14001167,0.34430867433547974
105,105,,E14001168,0.2245977371931076
106,106,,E14001169,0.0
107,107,,E14001170,0.26568087935447693
108,108,,E14001171,0.17848628759384155
109,109,,E14001172,0.0
110,110,,E14001173,0.1388930231332779
111,111,,E14001174,0.17938020825386047
112,112,,E14001175,0.0
113,113,,E14001176,0.19219309091567993
114,114,,E14001177,0.22110585868358612
115,115,,E14001178,0.2360883355140686
116,116,,E14001179,0.269219309091568
117,117,,E14001180,0.0
118,118,,E14001181,0.0
119,119,,E14001182,0.24128425121307373
120,120,,E14001183,0.15619413554668427
121,121,,E14001184,0.2720128297805786
122,122,,E14001185,0.2254357933998108
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.3418131470680237
127,127,,E14001190,0.16883939504623413
128,128,,E14001191,0.3425580859184265
129,129,,E14001192,0.2715397775173187
130,130,,E14001193,0.0
131,131,,E14001194,0.253799170255661
132,132,,E14001195,0.23484736680984497
133,133,,E14001196,0.0
134,134,,E14001197,0.2577473223209381
135,135,,E14001198,0.2338721603155136
136,136,,E14001199,0.21077299118041992
137,137,,E14001200,0.24630016088485718
138,138,,E14001201,0.310200035572052
139,139,,E14001202,0.3274359107017517
140,140,,E14001203,0.2213386446237564
141,141,,E14001204,0.0
142,142,,E14001205,0.0
143,143,,E14001206,0.3044174611568451
144,144,,E14001207,0.0
145,145,,E14001208,0.0
146,146,,E14001209,0.3184967041015625
147,147,,E14001210,0.2742103636264801
148,148,,E14001211,0.12391984462738037
149,149,,E14001212,0.2609579861164093
150,150,,E14001213,0.0
151,151,,E14001214,0.2549963891506195
152,152,,E14001215,0.3255084156990051
153,153,,E14001216,0.0
154,154,,E14001217,0.23350828886032104
155,155,,E14001218,0.0
156,156,,E14001219,0.2596096396446228
157,157,,E14001220,0.21606823801994324
158,158,,E14001221,0.0
159,159,,E14001222,0.0
160,160,,E14001223,0.0
161,161,,E14001224,0.27537620067596436
162,162,,E14001225,0.0
