,region,constituency,name,rx5day_anom
0,0,,E14001063,0.9061718583106995
1,1,,E14001064,1.1591084003448486
2,2,,E14001065,1.0808594226837158
3,3,,E14001066,0.8576497435569763
4,4,,E14001067,1.165152668952942
5,5,,E14001068,0.8116166591644287
6,6,,E14001069,0.9133690595626831
7,7,,E14001070,1.124942421913147
8,8,,E14001071,0.9512395858764648
9,9,,E14001072,1.2134615182876587
10,10,,E14001073,0.0
11,11,,E14001074,0.8968875408172607
12,12,,E14001075,0.0
13,13,,E14001076,1.8869476318359375
14,14,,E14001077,0.6925835609436035
15,15,,E14001078,0.0
16,16,,E14001079,0.7817266583442688
17,17,,E14001080,1.3718621730804443
18,18,,E14001081,0.0
19,19,,E14001082,0.8784157633781433
20,20,,E14001083,0.8055343627929688
21,21,,E14001084,0.0
22,22,,E14001085,0.7962925434112549
23,23,,E14001086,0.0
24,24,,E14001087,0.7769038677215576
25,25,,E14001088,1.0097614526748657
26,26,,E14001089,0.0
27,27,,E14001090,1.1459764242172241
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,1.1934360265731812
33,33,,E14001096,1.1880578994750977
34,34,,E14001097,1.1964225769042969
35,35,,E14001098,0.0
36,36,,E14001099,0.0
37,37,,E14001100,0.0
38,38,,E14001101,1.0876612663269043
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.0
42,42,,E14001105,1.4426929950714111
43,43,,E14001106,0.8491227030754089
44,44,,E14001107,0.7373665571212769
45,45,,E14001108,0.0
46,46,,E14001109,0.8262553215026855
47,47,,E14001110,1.2177144289016724
48,48,,E14001111,0.0
49,49,,E14001112,1.1920902729034424
50,50,,E14001113,0.0
51,51,,E14001114,0.771124005317688
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.907544732093811
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,1.1904600858688354
58,58,,E14001121,0.6228566765785217
59,59,,E14001122,0.0
60,60,,E14001123,0.0
61,61,,E14001124,0.0
62,62,,E14001125,0.6901655197143555
63,63,,E14001126,1.2001774311065674
64,64,,E14001127,0.7281097769737244
65,65,,E14001128,0.7674275636672974
66,66,,E14001129,0.0
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.0
70,70,,E14001133,0.0
71,71,,E14001134,1.4456630945205688
72,72,,E14001135,1.4249885082244873
73,73,,E14001136,0.8681447505950928
74,74,,E14001137,0.0
75,75,,E14001138,1.2059816122055054
76,76,,E14001139,0.79880690574646
77,77,,E14001140,0.8307867050170898
78,78,,E14001141,1.034306526184082
79,79,,E14001142,1.5770149230957031
80,80,,E14001143,1.0160491466522217
81,81,,E14001144,1.2351332902908325
82,82,,E14001145,0.0
83,83,,E14001146,0.6492835879325867
84,84,,E14001147,1.2973382472991943
85,85,,E14001148,1.0439530611038208
86,86,,E14001149,0.7334402799606323
87,87,,E14001150,1.0905320644378662
88,88,,E14001151,0.8223466873168945
89,89,,E14001152,1.2632957696914673
90,90,,E14001153,0.0
91,91,,E14001154,0.0
92,92,,E14001155,1.3491977453231812
93,93,,E14001156,0.7372125387191772
94,94,,E14001157,0.0
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,1.3794606924057007
99,99,,E14001162,0.883245587348938
100,100,,E14001163,0.9846775531768799
101,101,,E14001164,0.919285774230957
102,102,,E14001165,0.0
103,103,,E14001166,1.373489260673523
104,104,,E14001167,0.7798404693603516
105,105,,E14001168,1.2469000816345215
106,106,,E14001169,0.0
107,107,,E14001170,1.2903079986572266
108,108,,E14001171,1.3922569751739502
109,109,,E14001172,0.0
110,110,,E14001173,0.8013795018196106
111,111,,E14001174,0.8434600830078125
112,112,,E14001175,0.0
113,113,,E14001176,0.5911208391189575
114,114,,E14001177,1.1537715196609497
115,115,,E14001178,0.9688329100608826
116,116,,E14001179,0.8461053967475891
117,117,,E14001180,0.0
118,118,,E14001181,0.0
119,119,,E14001182,1.185550570487976
120,120,,E14001183,0.7597007751464844
121,121,,E14001184,0.9557109475135803
122,122,,E14001185,0.9186109304428101
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.7306674122810364
127,127,,E14001190,0.8137810230255127
128,128,,E14001191,0.7678836584091187
