,region,constituency,name,cdd_anom
0,0,,E14001063,0.24275779724121094
1,1,,E14001064,-0.1601428985595703
2,2,,E14001065,0.0
3,3,,E14001066,0.07246017456054688
4,4,,E14001067,0.3444085717201233
5,5,,E14001068,-0.1891307830810547
6,6,,E14001069,0.5376815795898438
7,7,,E14001070,0.0
8,8,,E14001071,0.3398551940917969
9,9,,E14001072,0.5150737762451172
10,10,,E14001073,0.0
11,11,,E14001074,-0.044203758239746094
12,12,,E14001075,0.0
13,13,,E14001076,-0.3291662931442261
14,14,,E14001077,0.0
15,15,,E14001078,0.0
16,16,,E14001079,-0.24963641166687012
17,17,,E14001080,0.0
18,18,,E14001081,0.0
19,19,,E14001082,0.34058094024658203
20,20,,E14001083,0.0
21,21,,E14001084,0.0
22,22,,E14001085,0.0
23,23,,E14001086,0.0
24,24,,E14001087,-0.2415752410888672
25,25,,E14001088,0.4099031984806061
26,26,,E14001089,0.0
27,27,,E14001090,0.44825974106788635
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,0.0
33,33,,E14001096,0.0
34,34,,E14001097,0.0
35,35,,E14001098,0.0
36,36,,E14001099,0.04419708251953125
37,37,,E14001100,0.0
38,38,,E14001101,-0.27855148911476135
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,-0.2811622619628906
42,42,,E14001105,-0.3608732223510742
43,43,,E14001106,-0.514491081237793
44,44,,E14001107,-0.42536067962646484
45,45,,E14001108,0.2608680725097656
46,46,,E14001109,-0.06739044189453125
47,47,,E14001110,0.0
48,48,,E14001111,-0.4094209671020508
49,49,,E14001112,0.0
50,50,,E14001113,0.0
51,51,,E14001114,0.2785015106201172
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.0
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,0.09420585632324219
58,58,,E14001121,0.5820285677909851
59,59,,E14001122,0.0
60,60,,E14001123,0.32970428466796875
61,61,,E14001124,0.0
62,62,,E14001125,0.3271751403808594
63,63,,E14001126,0.8184757232666016
64,64,,E14001127,-0.4572466313838959
65,65,,E14001128,-0.33858728408813477
66,66,,E14001129,0.32464027404785156
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.5615921020507812
70,70,,E14001133,0.0
71,71,,E14001134,0.4304332733154297
72,72,,E14001135,0.0
73,73,,E14001136,0.336956262588501
74,74,,E14001137,0.0
75,75,,E14001138,-0.07246017456054688
76,76,,E14001139,0.24202919006347656
77,77,,E14001140,0.0
78,78,,E14001141,0.3242769241333008
79,79,,E14001142,-0.2311573028564453
80,80,,E14001143,-0.1673908233642578
81,81,,E14001144,0.0
82,82,,E14001145,-0.42535877227783203
83,83,,E14001146,0.4640083312988281
84,84,,E14001147,-0.19909358024597168
85,85,,E14001148,0.3865947723388672
86,86,,E14001149,0.0
87,87,,E14001150,0.0
88,88,,E14001151,0.5699272155761719
89,89,,E14001152,-0.3714974820613861
90,90,,E14001153,0.0
91,91,,E14001154,0.23840713500976562
92,92,,E14001155,0.7003291845321655
93,93,,E14001156,0.551811695098877
94,94,,E14001157,0.3999958038330078
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,0.0
99,99,,E14001162,0.5797080993652344
100,100,,E14001163,0.0
101,101,,E14001164,-0.09333400428295135
102,102,,E14001165,0.0
103,103,,E14001166,0.27173900604248047
104,104,,E14001167,0.0
105,105,,E14001168,0.4827909469604492
106,106,,E14001169,0.0
107,107,,E14001170,-0.4999990463256836
108,108,,E14001171,0.7884082794189453
109,109,,E14001172,0.0
110,110,,E14001173,-0.4612312316894531
111,111,,E14001174,0.6413040161132812
112,112,,E14001175,0.0
113,113,,E14001176,0.0
114,114,,E14001177,-0.13695669174194336
115,115,,E14001178,-0.3405780792236328
116,116,,E14001179,0.2695655822753906
117,117,,E14001180,-0.0833282470703125
118,118,,E14001181,-0.19492530822753906
119,119,,E14001182,0.0
120,120,,E14001183,-0.5282588005065918
121,121,,E14001184,0.0
122,122,,E14001185,-0.22391414642333984
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.0
127,127,,E14001190,-0.2568855285644531
128,128,,E14001191,0.33297157287597656
129,129,,E14001192,0.08592060953378677
130,130,,E14001193,-0.19782447814941406
131,131,,E14001194,0.0
132,132,,E14001195,-0.11612212657928467
133,133,,E14001196,0.0
134,134,,E14001197,0.35318756103515625
135,135,,E14001198,-0.19009558856487274
136,136,,E14001199,-0.1376810073852539
137,137,,E14001200,0.023552417755126953
138,138,,E14001201,0.5952920913696289
139,139,,E14001202,0.5630435943603516
140,140,,E14001203,-0.06340694427490234
141,141,,E14001204,0.0
142,142,,E14001205,0.24203109741210938
143,143,,E14001206,0.2884044647216797
144,144,,E14001207,0.0
145,145,,E14001208,0.0
146,146,,E14001209,0.0
147,147,,E14001210,0.25507164001464844
148,148,,E14001211,-0.3876819610595703
149,149,,E14001212,0.393719345331192
150,150,,E14001213,0.0
151,151,,E14001214,0.21171505749225616
152,152,,E14001215,0.5601444244384766
153,153,,E14001216,0.0
154,154,,E14001217,0.5911433100700378
155,155,,E14001218,0.0
156,156,,E14001219,0.0
157,157,,E14001220,0.5188407897949219
158,158,,E14001221,0.0
159,159,,E14001222,-0.40145206451416016
160,160,,E14001223,0.2202892303466797
161,161,,E14001224,0.49335798621177673
162,162,,E14001225,0.0
163,163,,E14001226,0.23695755004882812
164,164,,E14001227,0.6340560913085938
165,165,,E14001228,-0.05724525451660156
166,166,,E14001229,0.0
167,167,,E14001230,0.0
168,168,,E14001231,0.0
169,169,,E14001232,1.1623191833496094
170,170,,E14001233,0.0
171,171,,E14001234,0.29492950439453125
172,172,,E14001235,0.5123209953308105
173,173,,E14001236,0.4673900604248047
174,174,,E14001237,0.0
175,175,,E14001238,0.0
176,176,,E14001239,0.47935009002685547
177,177,,E14001240,0.17753753066062927
