,region,constituency,name,pr_jja_trend
0,0,,E14001063,0.07371111959218979
1,1,,E14001064,0.07271083444356918
2,2,,E14001065,0.08003941178321838
3,3,,E14001066,0.0781136304140091
4,4,,E14001067,0.07493080198764801
5,5,,E14001068,0.0838356763124466
6,6,,E14001069,0.04393070563673973
7,7,,E14001070,0.08567727357149124
8,8,,E14001071,0.07178675383329391
9,9,,E14001072,0.07610677927732468
10,10,,E14001073,0.0
11,11,,E14001074,0.10319200158119202
12,12,,E14001075,0.0
13,13,,E14001076,0.12535329163074493
14,14,,E14001077,0.061702631413936615
15,15,,E14001078,0.0
16,16,,E14001079,0.09433172643184662
17,17,,E14001080,0.07892653346061707
18,18,,E14001081,0.0
19,19,,E14001082,0.06862874329090118
20,20,,E14001083,0.07754701375961304
21,21,,E14001084,0.0
22,22,,E14001085,0.07224322855472565
23,23,,E14001086,0.0
24,24,,E14001087,0.09224294871091843
25,25,,E14001088,0.04489525407552719
26,26,,E14001089,0.0
27,27,,E14001090,0.07408242672681808
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,0.07411233335733414
33,33,,E14001096,0.07285308092832565
34,34,,E14001097,0.07148905843496323
35,35,,E14001098,0.0
36,36,,E14001099,0.0
37,37,,E14001100,0.0
38,38,,E14001101,0.08449839055538177
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.0
42,42,,E14001105,0.10964556038379669
43,43,,E14001106,0.07754214853048325
44,44,,E14001107,0.08951685577630997
45,45,,E14001108,0.0
46,46,,E14001109,0.095054030418396
47,47,,E14001110,0.09596037864685059
48,48,,E14001111,0.0
49,49,,E14001112,0.0987498015165329
50,50,,E14001113,0.0
51,51,,E14001114,0.07985299825668335
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.0714833065867424
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,0.10435179620981216
58,58,,E14001121,0.05353628098964691
59,59,,E14001122,0.0
60,60,,E14001123,0.0
61,61,,E14001124,0.0
62,62,,E14001125,0.06060611084103584
63,63,,E14001126,0.07570414245128632
64,64,,E14001127,0.08257879316806793
65,65,,E14001128,0.0938381627202034
66,66,,E14001129,0.0
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.0
70,70,,E14001133,0.0
71,71,,E14001134,0.08846933394670486
72,72,,E14001135,0.08525348454713821
73,73,,E14001136,0.06280648708343506
74,74,,E14001137,0.0
75,75,,E14001138,0.07108765840530396
76,76,,E14001139,0.06671817600727081
77,77,,E14001140,0.07385130226612091
78,78,,E14001141,0.07546564936637878
79,79,,E14001142,0.11720646172761917
80,80,,E14001143,0.07768683135509491
81,81,,E14001144,0.09444791823625565
82,82,,E14001145,0.0
83,83,,E14001146,0.04899432137608528
84,84,,E14001147,0.10550962388515472
85,85,,E14001148,0.078371062874794
86,86,,E14001149,0.07032911479473114
87,87,,E14001150,0.07151547074317932
88,88,,E14001151,0.04426521807909012
89,89,,E14001152,0.08472973853349686
90,90,,E14001153,0.0
91,91,,E14001154,0.0
92,92,,E14001155,0.0827660784125328
93,93,,E14001156,0.052971001714468
94,94,,E14001157,0.0
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,0.0681668147444725
99,99,,E14001162,0.06859996914863586
100,100,,E14001163,0.07507485151290894
101,101,,E14001164,0.07033637911081314
102,102,,E14001165,0.0
103,103,,E14001166,0.08531608432531357
104,104,,E14001167,0.06903636455535889
105,105,,E14001168,0.06876552104949951
106,106,,E14001169,0.0
107,107,,E14001170,0.10339489579200745
108,108,,E14001171,0.07950982451438904
109,109,,E14001172,0.0
110,110,,E14001173,0.07279759645462036
111,111,,E14001174,0.0629182755947113
112,112,,E14001175,0.0
113,113,,E14001176,0.05114787071943283
114,114,,E14001177,0.09752455353736877
115,115,,E14001178,0.06758691370487213
116,116,,E14001179,0.08556190878152847
117,117,,E14001180,0.0
118,118,,E14001181,0.0
119,119,,E14001182,0.07723744213581085
120,120,,E14001183,0.0813244879245758
121,121,,E14001184,0.07313550263643265
122,122,,E14001185,0.06856212019920349
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.06651564687490463
127,127,,E14001190,0.07254675030708313
128,128,,E14001191,0.06562351435422897
129,129,,E14001192,0.08071516454219818
130,130,,E14001193,0.0
131,131,,E14001194,0.07442323863506317
132,132,,E14001195,0.0830431878566742
133,133,,E14001196,0.0
134,134,,E14001197,0.06602699309587479
135,135,,E14001198,0.09812016785144806
136,136,,E14001199,0.09201308339834213
137,137,,E14001200,0.09915689378976822
138,138,,E14001201,0.07684032618999481
139,139,,E14001202,0.045436304062604904
