,region,constituency,name,pr_ann_trend
0,0,,E14001063,0.07502025365829468
1,1,,E14001064,0.07743413746356964
2,2,,E14001065,0.09522716701030731
3,3,,E14001066,0.07033154368400574
4,4,,E14001067,0.09229125082492828
5,5,,E14001068,0.06916149705648422
6,6,,E14001069,0.08007821440696716
7,7,,E14001070,0.09743890166282654
8,8,,E14001071,0.07292874157428741
9,9,,E14001072,0.08126825839281082
10,10,,E14001073,0.0
11,11,,E14001074,0.07865000516176224
12,12,,E14001075,0.0
13,13,,E14001076,0.18226225674152374
14,14,,E14001077,0.06248652935028076
15,15,,E14001078,0.0
16,16,,E14001079,0.06890305876731873
17,17,,E14001080,0.09555783867835999
18,18,,E14001081,0.0
19,19,,E14001082,0.06959258019924164
20,20,,E14001083,0.06958351284265518
21,21,,E14001084,0.0
22,22,,E14001085,0.0661553144454956
23,23,,E14001086,0.0
24,24,,E14001087,0.07397379726171494
25,25,,E14001088,0.0844561755657196
26,26,,E14001089,0.0
27,27,,E14001090,0.07844173908233643
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,0.07768557220697403
33,33,,E14001096,0.0777859166264534
34,34,,E14001097,0.07794881612062454
35,35,,E14001098,0.0
36,36,,E14001099,0.0
37,37,,E14001100,0.0
38,38,,E14001101,0.09450165182352066
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.0
42,42,,E14001105,0.1382884681224823
43,43,,E14001106,0.07719007879495621
44,44,,E14001107,0.07357138395309448
45,45,,E14001108,0.0
46,46,,E14001109,0.0727573111653328
47,47,,E14001110,0.10945713520050049
48,48,,E14001111,0.0
49,49,,E14001112,0.10842283070087433
50,50,,E14001113,0.0
51,51,,E14001114,0.06636529415845871
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.07327863574028015
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,0.09714820981025696
58,58,,E14001121,0.060292501002550125
59,59,,E14001122,0.0
60,60,,E14001123,0.0
61,61,,E14001124,0.0
62,62,,E14001125,0.060946132987737656
63,63,,E14001126,0.09020384401082993
64,64,,E14001127,0.07059697806835175
65,65,,E14001128,0.07053352147340775
66,66,,E14001129,0.0
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.0
70,70,,E14001133,0.0
71,71,,E14001134,0.10228246450424194
72,72,,E14001135,0.10003118216991425
73,73,,E14001136,0.06626001000404358
74,74,,E14001137,0.0
75,75,,E14001138,0.07833138853311539
76,76,,E14001139,0.06420552730560303
77,77,,E14001140,0.06670466810464859
78,78,,E14001141,0.07390066236257553
79,79,,E14001142,0.1332572102546692
80,80,,E14001143,0.08016066253185272
81,81,,E14001144,0.11009133607149124
82,82,,E14001145,0.0
83,83,,E14001146,0.05910387635231018
84,84,,E14001147,0.10833758115768433
85,85,,E14001148,0.09065345674753189
86,86,,E14001149,0.06123074144124985
87,87,,E14001150,0.07701079547405243
88,88,,E14001151,0.07531359046697617
89,89,,E14001152,0.11465027928352356
90,90,,E14001153,0.0
91,91,,E14001154,0.0
92,92,,E14001155,0.10004444420337677
93,93,,E14001156,0.061832133680582047
94,94,,E14001157,0.0
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,0.08982834219932556
99,99,,E14001162,0.06944949179887772
100,100,,E14001163,0.08602624386548996
101,101,,E14001164,0.07829706370830536
102,102,,E14001165,0.0
103,103,,E14001166,0.1057644709944725
104,104,,E14001167,0.06250666826963425
105,105,,E14001168,0.08750542998313904
106,106,,E14001169,0.0
107,107,,E14001170,0.11885710805654526
108,108,,E14001171,0.10402290523052216
109,109,,E14001172,0.0
110,110,,E14001173,0.07228793948888779
111,111,,E14001174,0.07617023587226868
112,112,,E14001175,0.0
113,113,,E14001176,0.0612817257642746
114,114,,E14001177,0.09532595425844193
115,115,,E14001178,0.08477208018302917
116,116,,E14001179,0.06540339440107346
117,117,,E14001180,0.0
118,118,,E14001181,0.0
119,119,,E14001182,0.07785600423812866
120,120,,E14001183,0.07167720049619675
121,121,,E14001184,0.08209679275751114
122,122,,E14001185,0.08070872724056244
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.0633549764752388
127,127,,E14001190,0.07316265255212784
128,128,,E14001191,0.06638409942388535
129,129,,E14001192,0.07244463264942169
130,130,,E14001193,0.0
131,131,,E14001194,0.07231508940458298
132,132,,E14001195,0.08455163985490799
133,133,,E14001196,0.0
134,134,,E14001197,0.07730239629745483
135,135,,E14001198,0.07151739299297333
136,136,,E14001199,0.06811808794736862
137,137,,E14001200,0.07364378124475479
138,138,,E14001201,0.07712891697883606
139,139,,E14001202,0.08342746645212173
140,140,,E14001203,0.0809812992811203
141,141,,E14001204,0.0
142,142,,E14001205,0.0
143,143,,E14001206,0.07083611935377121
144,144,,E14001207,0.0
145,145,,E14001208,0.0
146,146,,E14001209,0.06862925738096237
147,147,,E14001210,0.07464618980884552
148,148,,E14001211,0.06675712764263153
149,149,,E14001212,0.08753940463066101
150,150,,E14001213,0.0
151,151,,E14001214,0.08558213710784912
152,152,,E14001215,0.0762244313955307
153,153,,E14001216,0.0
154,154,,E14001217,0.08458162099123001
155,155,,E14001218,0.0
156,156,,E14001219,0.10545700788497925
157,157,,E14001220,0.09080517292022705
158,158,,E14001221,0.0
159,159,,E14001222,0.0
160,160,,E14001223,0.0
161,161,,E14001224,0.05899658054113388
