,region,constituency,name,t_trend
0,0,,E14001063,0.21087151765823364
1,1,,E14001064,0.19577819108963013
2,2,,E14001065,0.18579034507274628
3,3,,E14001066,0.20076502859592438
4,4,,E14001067,0.202777698636055
5,5,,E14001068,0.2023801952600479
6,6,,E14001069,0.21991410851478577
7,7,,E14001070,0.17964017391204834
8,8,,E14001071,0.2122265249490738
9,9,,E14001072,0.20559774339199066
10,10,,E14001073,0.0
11,11,,E14001074,0.19879543781280518
12,12,,E14001075,0.0
13,13,,E14001076,0.15325476229190826
14,14,,E14001077,0.213192880153656
15,15,,E14001078,0.0
16,16,,E14001079,0.20397624373435974
17,17,,E14001080,0.18833687901496887
18,18,,E14001081,0.0
19,19,,E14001082,0.21312057971954346
20,20,,E14001083,0.2153206616640091
21,21,,E14001084,0.0
22,22,,E14001085,0.2180492877960205
23,23,,E14001086,0.0
24,24,,E14001087,0.1875997930765152
25,25,,E14001088,0.21475711464881897
26,26,,E14001089,0.0
27,27,,E14001090,0.20941010117530823
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,0.19851861894130707
33,33,,E14001096,0.19720831513404846
34,34,,E14001097,0.1971469223499298
35,35,,E14001098,0.0
36,36,,E14001099,0.0
37,37,,E14001100,0.0
38,38,,E14001101,0.17533712089061737
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.0
42,42,,E14001105,0.16458934545516968
43,43,,E14001106,0.17275691032409668
44,44,,E14001107,0.15945671498775482
45,45,,E14001108,0.0
46,46,,E14001109,0.20139126479625702
47,47,,E14001110,0.180687814950943
48,48,,E14001111,0.0
49,49,,E14001112,0.1779184639453888
50,50,,E14001113,0.0
51,51,,E14001114,0.20569996535778046
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.21117901802062988
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,0.18064886331558228
58,58,,E14001121,0.2179512232542038
59,59,,E14001122,0.0
60,60,,E14001123,0.0
61,61,,E14001124,0.0
62,62,,E14001125,0.21478472650051117
63,63,,E14001126,0.18430429697036743
64,64,,E14001127,0.18539267778396606
65,65,,E14001128,0.19378401339054108
66,66,,E14001129,0.0
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.0
70,70,,E14001133,0.0
71,71,,E14001134,0.18484459817409515
72,72,,E14001135,0.1848565936088562
73,73,,E14001136,0.2110956758260727
