,region,constituency,name,pr_djf_trend
0,0,E14001063,Aldershot,0.08442019
1,1,E14001064,Aldridge-Brownhills,0.077500954
2,2,E14001065,Altrincham and Sale West,0.124300495
3,3,E14001066,Amber Valley,0.06876938
4,4,E14001067,Arundel and South Downs,0.11275351
5,5,E14001068,Ashfield,0.061970115
6,6,E14001069,Ashford,0.10963078
7,7,E14001070,Ashton-under-Lyne,0.13460787
8,8,E14001071,Aylesbury,0.07508719
9,9,E14001072,Banbury,0.08073024
10,10,E14001073,Barking,0.07115628
11,11,E14001074,Barnsley North,0.06931435
12,12,E14001075,Barnsley South,0.06929559
13,13,E14001076,Barrow and Furness,0.2960487
14,14,E14001077,Basildon and Billericay,0.06961019
15,15,E14001078,Basingstoke,0.090527155
16,16,E14001079,Bassetlaw,0.055877604
17,17,E14001080,Bath,0.11823636
18,18,E14001081,Battersea,0.07530594
19,19,E14001082,Beaconsfield,0.08016928
20,20,E14001083,Beckenham and Penge,0.08003082
21,21,E14001084,Bedford,0.056424145
22,22,E14001085,Bermondsey and Old Southwark,0.073684074
23,23,E14001086,Bethnal Green and Stepney,0.073684074
24,24,E14001087,Beverley and Holderness,0.05492508
25,25,E14001088,Bexhill and Battle,0.11346247
26,26,E14001089,Bexleyheath and Crayford,0.07011952
27,27,E14001090,Bicester and Woodstock,0.07893079
28,28,E14001091,Birkenhead,0.102298625
29,29,E14001092,Birmingham Edgbaston,0.07743226
30,30,E14001093,Birmingham Erdington,0.077479094
31,31,E14001094,Birmingham Hall Green and Moseley,0.07744349
32,32,E14001095,Birmingham Hodge Hill and Solihull North,0.07681752
33,33,E14001096,Birmingham Ladywood,0.077479094
34,34,E14001097,Birmingham Northfield,0.07756581
35,35,E14001098,Birmingham Perry Barr,0.077479094
36,36,E14001099,Birmingham Selly Oak,0.07744349
37,37,E14001100,Birmingham Yardley,0.07681752
38,38,E14001101,Bishop Auckland,0.1421359
39,39,E14001102,Blackburn,0.1683694
40,40,E14001103,Blackley and Middleton South,0.1426587
41,41,E14001104,Blackpool North and Fleetwood,0.19708654
42,42,E14001105,Blackpool South,0.17706154
43,43,E14001106,Blaydon and Consett,0.09315527
44,44,E14001107,Blyth and Ashington,0.060242508
45,45,E14001108,Bognor Regis and Littlehampton,0.11946783
46,46,E14001109,Bolsover,0.064371735
47,47,E14001110,Bolton North East,0.15230894
48,48,E14001111,Bolton South and Walkden,0.13460344
49,49,E14001112,Bolton West,0.14159033
50,50,E14001113,Bootle,0.118063435
51,51,E14001114,Boston and Skegness,0.045084417
52,52,E14001115,Bournemouth East,0.13026202
53,53,E14001116,Bournemouth West,0.13026202
54,54,E14001117,Bracknell,0.08384083
55,55,E14001118,Bradford East,0.10370213
56,56,E14001119,Bradford South,0.117838874
57,57,E14001120,Bradford West,0.117838874
58,58,E14001121,Braintree,0.06729025
59,59,E14001122,Brent East,0.07410003
60,60,E14001123,Brent West,0.07410003
61,61,E14001124,Brentford and Isleworth,0.07807492
62,62,E14001125,Brentwood and Ongar,0.06679377
63,63,E14001126,Bridgwater,0.10127343
64,64,E14001127,Bridlington and The Wolds,0.05734001
65,65,E14001128,Brigg and Immingham,0.049944174
66,66,E14001129,Brighton Kemptown and Peacehaven,0.123352304
67,67,E14001130,Brighton Pavilion,0.123352304
68,68,E14001131,Bristol Central,0.11487363
69,69,E14001132,Bristol East,0.12041779
70,70,E14001133,Bristol North East,0.11312899
71,71,E14001134,Bristol North West,0.11720399
72,72,E14001135,Bristol South,0.12041779
73,73,E14001136,Broadland and Fakenham,0.049070146
74,74,E14001137,Bromley and Biggin Hill,0.08003082
75,75,E14001138,Bromsgrove,0.077670015
76,76,E14001139,Broxbourne,0.07059543
77,77,E14001140,Broxtowe,0.06232162
78,78,E14001141,Buckingham and Bletchley,0.07117408
79,79,E14001142,Burnley,0.19774996
80,80,E14001143,Burton and Uttoxeter,0.088106476
81,81,E14001144,Bury North,0.15867276
82,82,E14001145,Bury South,0.14136554
83,83,E14001146,Bury St Edmunds and Stowmarket,0.06520719
84,84,E14001147,Calder Valley,0.14487822
85,85,E14001148,Camborne and Redruth,0.09537314
86,86,E14001149,Cambridge,0.055827357
87,87,E14001150,Cannock Chase,0.07774443
88,88,E14001151,Canterbury,0.10183826
89,89,E14001152,Carlisle,0.20225926
90,90,E14001153,Carshalton and Wallington,0.08032563
91,91,E14001154,Castle Point,0.08813439
92,92,E14001155,Central Devon,0.111371495
93,93,E14001156,Central Suffolk and North Ipswich,0.06692199
94,94,E14001157,Chatham and Aylesford,0.079728104
95,95,E14001158,Cheadle,0.13490853
96,96,E14001159,Chelmsford,0.071649864
97,97,E14001160,Chelsea and Fulham,0.07530594
98,98,E14001161,Cheltenham,0.09210958
99,99,E14001162,Chesham and Amersham,0.07860973
100,100,E14001163,Chester North and Neston,0.08627245
101,101,E14001164,Chester South and Eddisbury,0.080634795
102,102,E14001165,Chesterfield,0.073660955
103,103,E14001166,Chichester,0.1300901
104,104,E14001167,Chingford and Woodford Green,0.06741703
105,105,E14001168,Chippenham,0.10449563
106,106,E14001169,Chipping Barnet,0.07190154
107,107,E14001170,Chorley,0.16290723
108,108,E14001171,Christchurch,0.12636735
109,109,E14001172,Cities of London and Westminster,0.073684074
110,110,E14001173,City of Durham,0.08176442
111,111,E14001174,Clacton,0.09672321
112,112,E14001175,Clapham and Brixton Hill,0.073684074
113,113,E14001176,Colchester,0.07406324
114,114,E14001177,Colne Valley,0.117824465
115,115,E14001178,Congleton,0.10641748
116,116,E14001179,Corby and East Northamptonshire,0.047562633
