,region,constituency,name,pr_djf_trend
0,0,,E14001063,0.08442018926143646
1,1,,E14001064,0.07750095427036285
2,2,,E14001065,0.12430049479007721
3,3,,E14001066,0.06876938045024872
4,4,,E14001067,0.11275351047515869
5,5,,E14001068,0.06197011470794678
6,6,,E14001069,0.1096307784318924
7,7,,E14001070,0.13460786640644073
8,8,,E14001071,0.07508718967437744
9,9,,E14001072,0.08073023706674576
10,10,,E14001073,0.0
11,11,,E14001074,0.06931435316801071
12,12,,E14001075,0.0
13,13,,E14001076,0.29604870080947876
14,14,,E14001077,0.06961019337177277
15,15,,E14001078,0.0
16,16,,E14001079,0.055877603590488434
17,17,,E14001080,0.11823636293411255
18,18,,E14001081,0.0
19,19,,E14001082,0.08016928285360336
20,20,,E14001083,0.08003082126379013
21,21,,E14001084,0.0
22,22,,E14001085,0.07368407398462296
23,23,,E14001086,0.0
24,24,,E14001087,0.05492508038878441
25,25,,E14001088,0.11346247047185898
26,26,,E14001089,0.0
27,27,,E14001090,0.07893078774213791
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,0.07681751996278763
33,33,,E14001096,0.07747909426689148
34,34,,E14001097,0.07756581157445908
35,35,,E14001098,0.0
36,36,,E14001099,0.0
37,37,,E14001100,0.0
38,38,,E14001101,0.14213590323925018
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.0
42,42,,E14001105,0.1770615428686142
43,43,,E14001106,0.09315527230501175
44,44,,E14001107,0.060242507606744766
45,45,,E14001108,0.0
46,46,,E14001109,0.0643717348575592
47,47,,E14001110,0.15230894088745117
48,48,,E14001111,0.0
49,49,,E14001112,0.14159032702445984
50,50,,E14001113,0.0
51,51,,E14001114,0.04508441686630249
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.08384083211421967
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,0.11783887445926666
58,58,,E14001121,0.06729024648666382
59,59,,E14001122,0.0
60,60,,E14001123,0.0
61,61,,E14001124,0.0
62,62,,E14001125,0.0667937695980072
63,63,,E14001126,0.10127343237400055
64,64,,E14001127,0.05734001100063324
65,65,,E14001128,0.04994417354464531
66,66,,E14001129,0.0
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.0
70,70,,E14001133,0.0
71,71,,E14001134,0.11720398813486099
72,72,,E14001135,0.12041778862476349
73,73,,E14001136,0.049070145934820175
74,74,,E14001137,0.0
75,75,,E14001138,0.07767001539468765
76,76,,E14001139,0.07059542834758759
77,77,,E14001140,0.06232161819934845
78,78,,E14001141,0.07117407768964767
79,79,,E14001142,0.19774995744228363
80,80,,E14001143,0.08810647577047348
81,81,,E14001144,0.1586727648973465
82,82,,E14001145,0.0
83,83,,E14001146,0.06520719081163406
84,84,,E14001147,0.14487822353839874
85,85,,E14001148,0.09537313878536224
86,86,,E14001149,0.05582735687494278
87,87,,E14001150,0.07774443179368973
88,88,,E14001151,0.10183826088905334
89,89,,E14001152,0.20225925743579865
90,90,,E14001153,0.0
91,91,,E14001154,0.0
92,92,,E14001155,0.1113714948296547
93,93,,E14001156,0.06692198663949966
94,94,,E14001157,0.0
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,0.09210958331823349
99,99,,E14001162,0.07860972732305527
100,100,,E14001163,0.08627244830131531
101,101,,E14001164,0.08063479512929916
102,102,,E14001165,0.0
103,103,,E14001166,0.13009010255336761
104,104,,E14001167,0.06741703301668167
105,105,,E14001168,0.10449562966823578
106,106,,E14001169,0.0
107,107,,E14001170,0.16290722787380219
108,108,,E14001171,0.12636734545230865
109,109,,E14001172,0.0
110,110,,E14001173,0.08176442235708237
111,111,,E14001174,0.09672320634126663
112,112,,E14001175,0.0
113,113,,E14001176,0.074063241481781
114,114,,E14001177,0.11782446503639221
115,115,,E14001178,0.10641747713088989
116,116,,E14001179,0.04756263270974159
117,117,,E14001180,0.0
118,118,,E14001181,0.0
119,119,,E14001182,0.07420127093791962
120,120,,E14001183,0.06692129373550415
121,121,,E14001184,0.10006113350391388
122,122,,E14001185,0.09245313704013824
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.07011952251195908
127,127,,E14001190,0.08691511303186417
128,128,,E14001191,0.07564292848110199
129,129,,E14001192,0.06485913693904877
130,130,,E14001193,0.0
131,131,,E14001194,0.07362490147352219
132,132,,E14001195,0.10064098984003067
133,133,,E14001196,0.0
134,134,,E14001197,0.08298754692077637
135,135,,E14001198,0.05819234624505043
136,136,,E14001199,0.05537080764770508
137,137,,E14001200,0.06160784885287285
138,138,,E14001201,0.08908693492412567
139,139,,E14001202,0.1206420511007309
140,140,,E14001203,0.07951182126998901
141,141,,E14001204,0.0
142,142,,E14001205,0.0
143,143,,E14001206,0.07214707881212234
144,144,,E14001207,0.0
145,145,,E14001208,0.0
146,146,,E14001209,0.07807491719722748
147,147,,E14001210,0.08504460752010345
148,148,,E14001211,0.06828805804252625
149,149,,E14001212,0.110582634806633
150,150,,E14001213,0.0
151,151,,E14001214,0.10191785544157028
152,152,,E14001215,0.09093731641769409
153,153,,E14001216,0.0
154,154,,E14001217,0.09954910725355148
155,155,,E14001218,0.0
156,156,,E14001219,0.1425926685333252
157,157,,E14001220,0.11017674207687378
158,158,,E14001221,0.0
159,159,,E14001222,0.0
160,160,,E14001223,0.0
161,161,,E14001224,0.054340802133083344
162,162,,E14001225,0.0
163,163,,E14001226,0.06862150132656097
164,164,,E14001227,0.08380699902772903
165,165,,E14001228,0.06257728487253189
166,166,,E14001229,0.07115627825260162
167,167,,E14001230,0.08043096214532852
168,168,,E14001231,0.0
169,169,,E14001232,0.08635418862104416
170,170,,E14001233,0.117643341422081
171,171,,E14001234,0.09516548365354538
172,172,,E14001235,0.07978604733943939
173,173,,E14001236,0.0
174,174,,E14001237,0.11312898993492126
175,175,,E14001238,0.07190153747797012
176,176,,E14001239,0.10855159163475037
177,177,,E14001240,0.091205894947052
178,178,,E14001241,0.11792515963315964
179,179,,E14001242,0.1758331060409546
180,180,,E14001243,0.05001780763268471
181,181,,E14001244,0.0
182,182,,E14001245,0.05397095903754234
183,183,,E14001246,0.0
184,184,,E14001247,0.09951485693454742
185,185,,E14001248,0.0
186,186,,E14001249,0.092661052942276
187,187,,E14001250,0.061276767402887344
188,188,,E14001251,0.0
189,189,,E14001252,0.0
190,190,,E14001253,0.044197749346494675
191,191,,E14001254,0.07547960430383682
192,192,,E14001255,0.0
193,193,,E14001256,0.06699693202972412
194,194,,E14001257,0.07210748642683029
195,195,,E14001258,0.08277668058872223
196,196,,E14001259,0.0
197,197,,E14001260,0.0
198,198,,E14001261,0.0
199,199,,E14001262,0.0
200,200,,E14001263,0.11663555353879929
201,201,,E14001264,0.0767384022474289
202,202,,E14001265,0.0
203,203,,E14001266,0.06018638238310814
204,204,,E14001267,0.06972572952508926
205,205,,E14001268,0.07558362931013107
206,206,,E14001269,0.09154722839593887
207,207,,E14001270,0.07410003244876862
208,208,,E14001271,0.0
209,209,,E14001272,0.0623185932636261
210,210,,E14001273,0.072275310754776
211,211,,E14001274,0.0
212,212,,E14001275,0.0
213,213,,E14001276,0.0
214,214,,E14001277,0.13039438426494598
215,215,,E14001278,0.07690010964870453
216,216,,E14001279,0.0
217,217,,E14001280,0.0808907076716423
218,218,,E14001281,0.0963258445262909
219,219,,E14001282,0.08756523579359055
220,220,,E14001283,0.07100602984428406
221,221,,E14001284,0.07318618893623352
222,222,,E14001285,0.1287001371383667
223,223,,E14001286,0.15782871842384338
224,224,,E14001287,0.12170930951833725
225,225,,E14001288,0.06988672912120819
226,226,,E14001289,0.0675019770860672
227,227,,E14001290,0.0
228,228,,E14001291,0.08481666445732117
229,229,,E14001292,0.06603789329528809
230,230,,E14001293,0.0
231,231,,E14001294,0.10257778316736221
232,232,,E14001295,0.0
233,233,,E14001296,0.0
234,234,,E14001297,0.0
235,235,,E14001298,0.04720513895153999
236,236,,E14001299,0.1972276270389557
237,237,,E14001300,0.06672679632902145
238,238,,E14001301,0.0
239,239,,E14001302,0.0
240,240,,E14001303,0.0
241,241,,E14001304,0.13502246141433716
242,242,,E14001305,0.0
243,243,,E14001306,0.0
244,244,,E14001307,0.0
245,245,,E14001308,0.14867067337036133
246,246,,E14001309,0.07609942555427551
247,247,,E14001310,0.07530593872070312
248,248,,E14001311,0.05507529899477959
249,249,,E14001312,0.08032482117414474
250,250,,E14001313,0.0
251,251,,E14001314,0.05777040496468544
252,252,,E14001315,0.0
253,253,,E14001316,0.07710254192352295
254,254,,E14001317,0.11332371085882187
255,255,,E14001318,0.21117833256721497
256,256,,E14001319,0.0
257,257,,E14001320,0.07223542779684067
258,258,,E14001321,0.0
259,259,,E14001322,0.10325565934181213
260,260,,E14001323,0.08271448314189911
261,261,,E14001324,0.0
262,262,,E14001325,0.09844125807285309
263,263,,E14001326,0.0
264,264,,E14001327,0.0
265,265,,E14001328,0.0
266,266,,E14001329,0.12625624239444733
267,267,,E14001330,0.1334715485572815
268,268,,E14001331,0.0
269,269,,E14001332,0.0
270,270,,E14001333,0.0
271,271,,E14001334,0.0
272,272,,E14001335,0.08046044409275055
273,273,,E14001336,0.0
274,274,,E14001337,0.0
275,275,,E14001338,0.10168890655040741
276,276,,E14001339,0.0
277,277,,E14001340,0.0997934341430664
278,278,,E14001341,0.0
279,279,,E14001342,0.05739551782608032
280,280,,E14001343,0.04443679004907608
281,281,,E14001344,0.07565674185752869
282,282,,E14001345,0.07173281908035278
283,283,,E14001346,0.07156676799058914
284,284,,E14001347,0.12319204956293106
285,285,,E14001348,0.08280088007450104
286,286,,E14001349,0.08055203408002853
287,287,,E14001350,0.11875943094491959
288,288,,E14001351,0.08235249668359756
289,289,,E14001352,0.14265869557857513
290,290,,E14001353,0.0
291,291,,E14001354,0.0
292,292,,E14001355,0.06145824119448662
293,293,,E14001356,0.11073155701160431
294,294,,E14001357,0.05289480835199356
295,295,,E14001358,0.07616458833217621
296,296,,E14001359,0.06160319969058037
297,297,,E14001360,0.07808690518140793
298,298,,E14001361,0.09675607830286026
299,299,,E14001362,0.07891029864549637
300,300,,E14001363,0.10507471114397049
301,301,,E14001364,0.06376911699771881
302,302,,E14001365,0.04954397305846214
303,303,,E14001366,0.11274176836013794
304,304,,E14001367,0.0
305,305,,E14001368,0.052304696291685104
306,306,,E14001369,0.06671298295259476
307,307,,E14001370,0.062215954065322876
308,308,,E14001371,0.08032563328742981
309,309,,E14001372,0.2575141489505768
310,310,,E14001373,0.13783426582813263
311,311,,E14001374,0.12972085177898407
312,312,,E14001375,0.05021298676729202
313,313,,E14001376,0.08852194249629974
314,314,,E14001377,0.07996699959039688
315,315,,E14001378,0.06972801685333252
316,316,,E14001379,0.0
317,317,,E14001380,0.0888417661190033
318,318,,E14001381,0.09422068297863007
319,319,,E14001382,0.07990236580371857
320,320,,E14001383,0.07165806740522385
321,321,,E14001384,0.05357981473207474
322,322,,E14001385,0.14817680418491364
323,323,,E14001386,0.09235312789678574
324,324,,E14001387,0.1559319794178009
325,325,,E14001388,0.10421876609325409
326,326,,E14001389,0.09922774136066437
327,327,,E14001390,0.04523793235421181
328,328,,E14001391,0.08421392738819122
329,329,,E14001392,0.08889643102884293
330,330,,E14001393,0.06627248227596283
331,331,,E14001394,0.12295051664113998
332,332,,E14001395,0.0872717797756195
333,333,,E14001396,0.05100659281015396
334,334,,E14001397,0.07398063689470291
335,335,,E14001398,0.08309023827314377
336,336,,E14001399,0.11880655586719513
337,337,,E14001400,0.07408582419157028
338,338,,E14001401,0.04442157223820686
339,339,,E14001402,0.06748589873313904
340,340,,E14001403,0.09413810074329376
341,341,,E14001404,0.06724576652050018
342,342,,E14001405,0.05081506818532944
343,343,,E14001406,0.0
344,344,,E14001407,0.06329535692930222
345,345,,E14001408,0.043866053223609924
346,346,,E14001409,0.0
347,347,,E14001410,0.0
348,348,,E14001411,0.0579683780670166
349,349,,E14001412,0.058740898966789246
350,350,,E14001413,0.07207387685775757
351,351,,E14001414,0.0
352,352,,E14001415,0.1352570354938507
353,353,,E14001416,0.0
354,354,,E14001417,0.07855410873889923
355,355,,E14001418,0.09385918825864792
356,356,,E14001419,0.0
357,357,,E14001420,0.0806971937417984
358,358,,E14001421,0.0
359,359,,E14001422,0.21683037281036377
360,360,,E14001423,0.09565380960702896
361,361,,E14001424,0.24259597063064575
362,362,,E14001425,0.043558359146118164
363,363,,E14001426,0.1281718909740448
364,364,,E14001427,0.0
365,365,,E14001428,0.06638751924037933
366,366,,E14001429,0.0
367,367,,E14001430,0.0
368,368,,E14001431,0.0
369,369,,E14001432,0.0
370,370,,E14001433,0.0
371,371,,E14001434,0.0
372,372,,E14001435,0.0
373,373,,E14001436,0.06483929604291916
374,374,,E14001437,0.0812368094921112
375,375,,E14001438,0.0
376,376,,E14001439,0.08469191193580627
377,377,,E14001440,0.057525016367435455
378,378,,E14001441,0.07807548344135284
379,379,,E14001442,0.08521124720573425
380,380,,E14001443,0.20555660128593445
381,381,,E14001444,0.1314689815044403
382,382,,E14001445,0.0
383,383,,E14001446,0.1465226411819458
384,384,,E14001447,0.07947903871536255
385,385,,E14001448,0.0
386,386,,E14001449,0.10362905263900757
387,387,,E14001450,0.17475636303424835
388,388,,E14001451,0.06298977136611938
389,389,,E14001452,0.0
390,390,,E14001453,0.07086924463510513
391,391,,E14001454,0.07696259766817093
392,392,,E14001455,0.08804567158222198
393,393,,E14001456,0.08088644593954086
394,394,,E14001457,0.05556630715727806
395,395,,E14001458,0.04922202602028847
396,396,,E14001459,0.14136554300785065
397,397,,E14001460,0.10436984151601791
398,398,,E14001461,0.05584074556827545
399,399,,E14001462,0.05436741188168526
400,400,,E14001463,0.11806343495845795
401,401,,E14001464,0.06420467793941498
402,402,,E14001465,0.08234867453575134
403,403,,E14001466,0.08355096727609634
404,404,,E14001467,0.0
405,405,,E14001468,0.0959865152835846
406,406,,E14001469,0.0
407,407,,E14001470,0.07126981019973755
408,408,,E14001471,0.05437535420060158
409,409,,E14001472,0.12944568693637848
410,410,,E14001473,0.08376257121562958
411,411,,E14001474,0.09418293833732605
412,412,,E14001475,0.1824263483285904
413,413,,E14001476,0.046741604804992676
414,414,,E14001477,0.08068691939115524
415,415,,E14001478,0.07743225991725922
416,416,,E14001479,0.07708854228258133
417,417,,E14001480,0.07108868658542633
418,418,,E14001481,0.05862516164779663
