,region,constituency,name,t_trend
138,139,E14000668,Doncaster Central,0.2029896
139,140,E14000669,Doncaster North,0.20172219
140,141,E14000670,Dover,0.21845417
141,142,E14000671,Dudley North,0.19555509
142,143,E14000672,Dudley South,0.19555509
143,144,E14000673,Dulwich and West Norwood,0.21497713
144,145,E14000674,Ealing Central and Acton,0.21496592
145,146,E14000675,Ealing North,0.21428895
146,147,E14000676,"Ealing, Southall",0.21428895
147,148,E14000677,Easington,0.17234671
148,149,E14000678,East Devon,0.17409292
149,150,E14000679,East Ham,0.21788462
150,151,E14000680,East Hampshire,0.2040689
151,152,E14000681,East Surrey,0.214641
152,153,E14000682,East Worthing and Shoreham,0.2028385
153,154,E14000683,East Yorkshire,0.18633105
154,155,E14000684,Eastbourne,0.20912178
155,156,E14000685,Eastleigh,0.1919063
156,157,E14000686,Eddisbury,0.19092965
157,158,E14000687,Edmonton,0.21594808
158,159,E14000688,Ellesmere Port and Neston,0.17132266
159,160,E14000689,Elmet and Rothwell,0.1956017
160,161,E14000690,Eltham,0.21788462
161,162,E14000691,Enfield North,0.21676494
162,163,E14000692,"Enfield, Southgate",0.21676494
163,164,E14000693,Epping Forest,0.21719405
164,165,E14000694,Epsom and Ewell,0.21575388
165,166,E14000695,Erewash,0.20596495
166,167,E14000696,Erith and Thamesmead,0.21611215
167,168,E14000697,Esher and Walton,0.21500723
168,169,E14000698,Exeter,0.16735987
169,170,E14000699,Fareham,0.1924853
170,171,E14000700,Faversham and Mid Kent,0.21699099
171,172,E14000701,Feltham and Heston,0.21428895
172,173,E14000702,Filton and Bradley Stoke,0.18564337
173,174,E14000703,Finchley and Golders Green,0.2150338
174,175,E14000704,Folkestone and Hythe,0.22091877
175,176,E14000705,Forest of Dean,0.19612426
176,177,E14000706,Fylde,0.16661204
177,178,E14000707,Gainsborough,0.2006654
178,179,E14000708,Garston and Halewood,0.17255092
179,180,E14000709,Gateshead,0.17028622
180,181,E14000710,Gedling,0.20686032
181,182,E14000711,Gillingham and Rainham,0.21668881
182,183,E14000712,Gloucester,0.19572449
183,184,E14000713,Gosport,0.1924853
